title;regular_price;meta:unit;meta:sqm_per_unit;images;description;short_description;sku;meta:color;meta:length;meta:width;meta:toplayer_height;meta:height;meta:dessin;meta:type;meta:weight_per_sqm;meta:way_of_application;brand;collection;serie;categories;https://test.vloerenraamdecor.nl/import-images/ambiant/description/main_image/description_thumb.jpg
Avanto Dark grey;59.95;;2.24;;6152.5506.1.9;;'8717003392927';Dark grey;122;22.9;0.55;7;;;;;Ambiant;Avanto;;"Vloeren > PVC Vloeren > Ambiant > Avanto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6152550619/main_image/6152550619_thumb.jpg
Avanto Light grey;59.95;;2.24;;6152.5505.1.9;;'8717003392910';Light grey;122;22.9;0.55;7;;;;;Ambiant;Avanto;;"Vloeren > PVC Vloeren > Ambiant > Avanto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6152550519/main_image/6152550519_thumb.jpg
Avanto Natural;59.95;;2.24;;6152.5503.1.9;;'8717003392897';Natural;122;22.9;0.55;7;;;;;Ambiant;Avanto;;"Vloeren > PVC Vloeren > Ambiant > Avanto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6152550319/main_image/6152550319_thumb.jpg
Avanto Smoky;59.95;;2.24;;6152.5502.1.9;;'8717003392880';Smoky;122;22.9;0.55;7;;;;;Ambiant;Avanto;;"Vloeren > PVC Vloeren > Ambiant > Avanto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6152550219/main_image/6152550219_thumb.jpg
Avanto Warm brown;59.95;;2.24;;6152.5501.1.9;;'8717003392873';Warm brown;122;22.9;0.55;7;;;;;Ambiant;Avanto;;"Vloeren > PVC Vloeren > Ambiant > Avanto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6152550119/main_image/6152550119_thumb.jpg
Baroso Anthracite;59.95;;1.8;;6111.1983.1.9;;'8717003392866';Anthracite;60;60;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6111198319/main_image/6111198319_thumb.jpg
Baroso Grey;59.95;;1.8;;6111.1981.1.9;;'8717003392842';Grey;60;60;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6111198119/main_image/6111198119_thumb.jpg
Baroso Light grey;59.95;;1.8;;6111.1980.1.9;;'8717003392835';Light grey;60;60;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6111198019/main_image/6111198019_thumb.jpg
Baroso Taupe;59.95;;1.8;;6111.1982.1.9;;'8717003392859';Taupe;60;60;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6111198219/main_image/6111198219_thumb.jpg
Baroso Anthracite;59.95;;1.65;;9020.1983.1.9;;'8717003408994';Anthracite;81.2;40.6;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/9020198319/main_image/9020198319_thumb.jpg
Baroso Grey;59.95;;1.65;;9020.1981.1.9;;'8717003408970';Grey;81.2;40.6;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/9020198119/main_image/9020198119_thumb.jpg
Baroso Light grey;59.95;;1.65;;9020.1980.1.9;;'8717003408963';Light grey;81.2;40.6;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/9020198019/main_image/9020198019_thumb.jpg
Baroso Taupe;59.95;;1.65;;9020.1982.1.9;;'8717003408987';Taupe;81.2;40.6;0.55;7;;;;;Ambiant;Baroso;;"Vloeren > PVC Vloeren > Ambiant > Baroso; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/9020198219/main_image/9020198219_thumb.jpg
Ceramo Anthracite;59.95;;2.23;;6189.6213.1.9;;'8717003392064';Anthracite;61;61;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6189621319/main_image/6189621319_thumb.jpg
Ceramo Beige;59.95;;2.23;;6189.6210.1.9;;'8717003392033';Beige;61;61;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6189621019/main_image/6189621019_thumb.jpg
Ceramo Grey;59.95;;2.23;;6189.6212.1.9;;'8717003392057';Grey;61;61;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6189621219/main_image/6189621219_thumb.jpg
Ceramo Light grey;59.95;;2.23;;6189.6211.1.9;;'8717003392040';Light grey;61;61;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6189621119/main_image/6189621119_thumb.jpg
Ceramo Anthracite;59.95;;1.65;;7020.6213.1.9;;'8717003408956';Anthracite;81.2;40.6;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/7020621319/main_image/7020621319_thumb.jpg
Ceramo Beige;59.95;;1.65;;7020.6210.1.9;;'8717003408925';Beige;81.2;40.6;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/7020621019/main_image/7020621019_thumb.jpg
Ceramo Grey;59.95;;1.65;;7020.6212.1.9;;'8717003408949';Grey;81.2;40.6;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/7020621219/main_image/7020621219_thumb.jpg
Ceramo Light grey;59.95;;1.65;;7020.6211.1.9;;'8717003408932';Light grey;81.2;40.6;0.55;7;;;;;Ambiant;Ceramo;;"Vloeren > PVC Vloeren > Ambiant > Ceramo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/7020621119/main_image/7020621119_thumb.jpg
Essenzo Dark oak;59.95;;1.37;;6156.2904.1.9;;'8717003392996';Dark oak;152.2;22.5;0.55;7;;;;;Ambiant;Essenzo;;"Vloeren > PVC Vloeren > Ambiant > Essenzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6156290419/main_image/6156290419_thumb.jpg
Essenzo Light grey;59.95;;1.37;;6156.2913.1.9;;'8717003393023';Light grey;152.2;22.5;0.55;7;;;;;Ambiant;Essenzo;;"Vloeren > PVC Vloeren > Ambiant > Essenzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6156291319/main_image/6156291319_thumb.jpg
Essenzo Light oak;59.95;;1.37;;6156.2911.1.9;;'8717003393016';Light oak;152.2;22.5;0.55;7;;;;;Ambiant;Essenzo;;"Vloeren > PVC Vloeren > Ambiant > Essenzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6156291119/main_image/6156291119_thumb.jpg
Essenzo Smoky;59.95;;1.37;;6156.2905.1.9;;'8717003393009';Smoky;152.2;22.5;0.55;7;;;;;Ambiant;Essenzo;;"Vloeren > PVC Vloeren > Ambiant > Essenzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6156290519/main_image/6156290519_thumb.jpg
Estino Beige;59.95;;1.37;;6512.2613.1.9;;'8717003411994';Beige;152.2;22.5;0.55;7;;;;;Ambiant;Estino;;"Vloeren > PVC Vloeren > Ambiant > Estino; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6512261319/main_image/6512261319_thumb.jpg
Estino Dark oak;59.95;;1.37;;6512.2611.1.9;;'8717003411970';Dark oak;152.2;22.5;0.55;7;;;;;Ambiant;Estino;;"Vloeren > PVC Vloeren > Ambiant > Estino; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6512261119/main_image/6512261119_thumb.jpg
Estino Natural oak;59.95;;1.37;;6512.2610.1.9;;'8717003411963';Natural oak;152.2;22.5;0.55;7;;;;;Ambiant;Estino;;"Vloeren > PVC Vloeren > Ambiant > Estino; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6512261019/main_image/6512261019_thumb.jpg
Estino Smoky;59.95;;1.37;;6512.2612.1.9;;'8717003411987';Smoky;152.2;22.5;0.55;7;;;;;Ambiant;Estino;;"Vloeren > PVC Vloeren > Ambiant > Estino; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6512261219/main_image/6512261219_thumb.jpg
Piazzo Dark grey;59.95;;2.48;;6192.7411.1.9;;'8717003397700';Dark grey;91;45.5;0.55;7;;;;;Ambiant;Piazzo;;"Vloeren > PVC Vloeren > Ambiant > Piazzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6192741119/main_image/6192741119_thumb.jpg
Piazzo Grey;59.95;;2.48;;6192.7412.1.9;;'8717003397717';Grey;91;45.5;0.55;7;;;;;Ambiant;Piazzo;;"Vloeren > PVC Vloeren > Ambiant > Piazzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6192741219/main_image/6192741219_thumb.jpg
Piazzo Light grey;59.95;;2.48;;6192.7413.1.9;;'8717003397724';Light grey;91;45.5;0.55;7;;;;;Ambiant;Piazzo;;"Vloeren > PVC Vloeren > Ambiant > Piazzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6192741319/main_image/6192741319_thumb.jpg
Piazzo Warm grey;59.95;;2.48;;6192.7410.1.9;;'8717003397694';Warm grey;91;45.5;0.55;7;;;;;Ambiant;Piazzo;;"Vloeren > PVC Vloeren > Ambiant > Piazzo; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6192741019/main_image/6192741019_thumb.jpg
Piero Beige;59.95;;2.23;;6187.6200.1.9;;'8717003391999';Beige;61;61;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6187620019/main_image/6187620019_thumb.jpg
Piero Dark grey;59.95;;2.23;;6187.6203.1.9;;'8717003392026';Dark grey;61;61;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6187620319/main_image/6187620319_thumb.jpg
Piero Light grey;59.95;;2.23;;6187.6202.1.9;;'8717003392019';Light grey;61;61;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6187620219/main_image/6187620219_thumb.jpg
Piero Taupe;59.95;;2.23;;6187.6201.1.9;;'8717003392002';Taupe;61;61;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6187620119/main_image/6187620119_thumb.jpg
Piero Beige;59.95;;1.65;;8020.6200.1.9;;'8717003408888';Beige;81.2;40.6;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/8020620019/main_image/8020620019_thumb.jpg
Piero Dark grey;59.95;;1.648;;8020.6203.1.9;;'8717003408918';Dark grey;81.2;40.6;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/8020620319/main_image/8020620319_thumb.jpg
Piero Light grey;59.95;;1.65;;8020.6202.1.9;;'8717003408901';Light grey;81.2;40.6;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/8020620219/main_image/8020620219_thumb.jpg
Piero Taupe;59.95;;1.65;;8020.6201.1.9;;'8717003408895';Taupe;81.2;40.6;0.55;7;;;;;Ambiant;Piero;;"Vloeren > PVC Vloeren > Ambiant > Piero; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/8020620119/main_image/8020620119_thumb.jpg
Robusto Dark oak;59.95;;1.45;;6155.2557.1.9;;'8717003411697';Dark oak;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155255719/main_image/6155255719_thumb.jpg
Robusto Grey oak;59.95;;1.45;;6155.2554.1.9;;'8717003392972';Grey oak;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155255419/main_image/6155255419_thumb.jpg
Robusto Light grey;59.95;;1.45;;6155.2533.1.9;;'8717003392965';Light grey;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155253319/main_image/6155253319_thumb.jpg
Robusto Light oak;59.95;;1.45;;6155.2556.1.9;;'8717003411680';Light oak;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155255619/main_image/6155255619_thumb.jpg
Robusto Natural oak;59.95;;1.45;;6155.2555.1.9;;'8717003392989';Natural oak;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155255519/main_image/6155255519_thumb.jpg
Robusto Naturel;59.95;;1.45;;6155.2531.1.9;;'8717003392941';Naturel;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155253119/main_image/6155253119_thumb.jpg
Robusto Smoky;59.95;;1.45;;6155.2530.1.9;;'8717003392934';Smoky;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155253019/main_image/6155253019_thumb.jpg
Robusto Warm brown;59.95;;1.45;;6155.2532.1.9;;'8717003392958';Warm brown;152.2;23.8;0.55;7;;;;;Ambiant;Robusto;;"Vloeren > PVC Vloeren > Ambiant > Robusto; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6155253219/main_image/6155253219_thumb.jpg
Spigato estino visgraat Beige;59.95;;1.71;;6612.2613.1.9;;'8717003412076';Beige;73;14.6;0.55;7;;;;;Ambiant;Spigato estino visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato estino visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6612261319/main_image/6612261319_thumb.jpg
Spigato estino visgraat Dark oak;59.95;;1.71;;6612.2611.1.9;;'8717003412052';Dark oak;73;14.6;0.55;7;;;;;Ambiant;Spigato estino visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato estino visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6612261119/main_image/6612261119_thumb.jpg
Spigato estino visgraat Natural oak;59.95;;1.71;;6612.2610.1.9;;'8717003412045';Natural oak;73;14.6;0.55;7;;;;;Ambiant;Spigato estino visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato estino visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6612261019/main_image/6612261019_thumb.jpg
Spigato estino visgraat Smoky;59.95;;1.71;;6612.2612.1.9;;'8717003412069';Smoky;73;14.6;0.55;7;;;;;Ambiant;Spigato estino visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato estino visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6612261219/main_image/6612261219_thumb.jpg
Spigato visgraat Beige;59.95;;0.9;;6158.3504.1.9;;'8717003393108';Beige;60;15;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6158350419/main_image/6158350419_thumb.jpg
Spigato visgraat Dark grey;59.95;;0.9;;6158.3506.1.9;;'8717003393122';Dark grey;60;15;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6158350619/main_image/6158350619_thumb.jpg
Spigato visgraat Dark oak;59.95;;1.71;;6157.2504.1.9;;'8717003393030';Dark oak;73;14.6;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6157250419/main_image/6157250419_thumb.jpg
Spigato visgraat Grey;59.95;;0.9;;6158.3505.1.9;;'8717003393115';Grey;60;15;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6158350519/main_image/6158350519_thumb.jpg
Spigato visgraat Light brown;59.95;;0.9;;6158.3502.1.9;;'8717003393085';Light brown;60;15;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6158350219/main_image/6158350219_thumb.jpg
Spigato visgraat Light grey;59.95;;1.71;;6157.2533.1.9;;'8717003393061';Light grey;73;14.6;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6157253319/main_image/6157253319_thumb.jpg
Spigato visgraat Light oak;59.95;;1.71;;6157.2511.1.9;;'8717003393047';Light oak;73;14.6;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6157251119/main_image/6157251119_thumb.jpg
Spigato visgraat Natural;59.95;;0.9;;6158.3503.1.9;;'8717003393092';Natural;60;15;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6158350319/main_image/6158350319_thumb.jpg
Spigato visgraat Smoky;59.95;;1.71;;6157.2530.1.9;;'8717003393054';Smoky;73;14.6;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6157253019/main_image/6157253019_thumb.jpg
Spigato visgraat Warm brown;59.95;;0.9;;6158.3501.1.9;;'8717003393078';Warm brown;60;15;0.55;7;;;;;Ambiant;Spigato visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6158350119/main_image/6158350119_thumb.jpg
Spigato vivero visgraat Beige;59.95;;1.71;;6412.2824.1.9;;'8717003411901';Beige;73;14.6;0.55;7;;;;;Ambiant;Spigato vivero visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato vivero visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6412282419/main_image/6412282419_thumb.jpg
Spigato vivero visgraat Dark oak;59.95;;1.71;;6412.2823.1.9;;'8717003411895';Dark oak;73;14.6;0.55;7;;;;;Ambiant;Spigato vivero visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato vivero visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6412282319/main_image/6412282319_thumb.jpg
Spigato vivero visgraat Light oak;59.95;;1.71;;6412.2820.1.9;;'8717003411864';Light oak;73;14.6;0.55;7;;;;;Ambiant;Spigato vivero visgraat;;"Vloeren > PVC Vloeren > Ambiant > Spigato vivero visgraat; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6412282019/main_image/6412282019_thumb.jpg
